Nama Barbershop,Rating,Jumlah Ulasan,Kategori,Alamat,Status Operasional,
A2 barbershop,5,3,Tempat Cukur Rambut,VM27+HP6,Tutup 22.30,https://www.google.com/maps/search/A2 barbershop+Kupang
Aboni barbershop,N/A,0,Tempat Cukur Rambut,N/A,Buka Rab 08.00,https://www.google.com/maps/search/Aboni barbershop+Kupang
ACF BARBERSHOP,5,1,Tempat Cukur Rambut,Jl. Taebenu No.1,N/A,https://www.google.com/maps/search/ACF BARBERSHOP+Kupang
Aidens Barbershop,N/A,0,Salon Rambut,Jl. TDM V,Buka Rab 09.00,https://www.google.com/maps/search/Aidens Barbershop+Kupang
AMRAN BARBERSHOP,5,1,Tempat Cukur Rambut,Jl. Lakbanu No.32,Tutup 23.00,https://www.google.com/maps/search/AMRAN BARBERSHOP+Kupang
Anasta Barbershop,4.5,6,Tempat Cukur Rambut,RJVC+V75,N/A,https://www.google.com/maps/search/Anasta Barbershop+Kupang
Angga Angelos (GB barbershop),5,1,Tempat Cukur Rambut,Jl. Sikib RT.17/RW.06,Buka Rab 10.00,https://www.google.com/maps/search/Angga Angelos (GB barbershop)+Kupang
ATOIN METO BARBERSHOP,5,1,Salon Rambut,Jl. Kelinci No.238,N/A,https://www.google.com/maps/search/ATOIN METO BARBERSHOP+Kupang
B&W BARBERSHOP,4,11,Salon Rambut,Jl. Bajawa No.30,Buka Rab 09.00,https://www.google.com/maps/search/B&W BARBERSHOP+Kupang
Bang ji barbershop,N/A,0,Salon Rambut,Jl. P. Kemerdekaan III No.7,N/A,https://www.google.com/maps/search/Bang ji barbershop+Kupang
Barber Shop BNB,5,2,Salon Rambut,Jl. Oeleta Raya 003,N/A,https://www.google.com/maps/search/Barber Shop BNB+Kupang
Barbershop,5,1,Salon Rambut,Jl. Dua Lontar,N/A,https://www.google.com/maps/search/Barbershop+Kupang
Barbershop 46,N/A,0,Tempat Cukur Rambut,Jl. Bhakti Karang,Tutup 22.30,https://www.google.com/maps/search/Barbershop 46+Kupang
Barbershop AR46,N/A,0,Toko Peralatan Pangkas Rambut,Jl Fetor Foenay,Buka Rab 09.00,https://www.google.com/maps/search/Barbershop AR46+Kupang
Barbershop Barondang,5,1,Pembangunan Perumahan,RHH4+C6C,N/A,https://www.google.com/maps/search/Barbershop Barondang+Kupang
Barbershop Bh41ra,4,1,Tempat Cukur Rambut,N/A,N/A,https://www.google.com/maps/search/Barbershop Bh41ra+Kupang
Barbershop Champen,4.8,6,Tempat Cukur Rambut,RJCF+Q6P,Buka Rab 08.00,https://www.google.com/maps/search/Barbershop Champen+Kupang
Barbershop GIMBO,5,1,Salon Rambut,Jl. Anggur,N/A,https://www.google.com/maps/search/Barbershop GIMBO+Kupang
BARBERSHOP KENAN,4.4,7,Tempat Cukur Rambut,Jl. Farmasi,Buka Rab 09.00,https://www.google.com/maps/search/BARBERSHOP KENAN+Kupang
Barbershop KUMIS GANG,4.8,11,Tempat Cukur Rambut,Jl. Hati Mulia VI No.9,Tutup 22.00,https://www.google.com/maps/search/Barbershop KUMIS GANG+Kupang
Barbershop Lusi,N/A,0,Tempat Cukur Rambut,Jl. Amabi,Tutup 23.00,https://www.google.com/maps/search/Barbershop Lusi+Kupang
Barbershop MR.Breewok,4,1,Penata Rambut,Jl. Sahabat,Buka Rab 10.00,https://www.google.com/maps/search/Barbershop MR.Breewok+Kupang
Barbershop Pa De,5,1,Salon Rambut,Jl. TDM II,Buka 24 Jam,https://www.google.com/maps/search/Barbershop Pa De+Kupang
Barbershop PJKR Universitas San Pedro,4,4,Tempat Cukur Rambut,Jl. Farmasi No.32,Tutup 22.00,https://www.google.com/maps/search/Barbershop PJKR Universitas San Pedro+Kupang
Barbershop S.I.D,5,1,Tempat Cukur Rambut,Jl. Jenderal Sudirman No.47,N/A,https://www.google.com/maps/search/Barbershop S.I.D+Kupang
BARBERSHOP TRABAS,4.3,6,Salon Rambut,Jl. Farmasi,N/A,https://www.google.com/maps/search/BARBERSHOP TRABAS+Kupang
BARBERSHOP ZM,4.3,41,Tempat Cukur Rambut,RHQM+344,Tutup 22.00,https://www.google.com/maps/search/BARBERSHOP ZM+Kupang
Barbershop88 ebufu,4.5,2,Tempat Cukur Rambut,RJFC+RG6,Buka Rab 09.00,https://www.google.com/maps/search/Barbershop88 ebufu+Kupang
BLACK BARBERSHOP,4.7,3,Tempat Cukur Rambut,Jl. Pahlawan No.15,Buka Rab 09.00,https://www.google.com/maps/search/BLACK BARBERSHOP+Kupang
Black Red Barbershop,4.4,42,Tempat Cukur Rambut,Jl. Jend. Soeharto,Buka 24 Jam,https://www.google.com/maps/search/Black Red Barbershop+Kupang
Blessed barbershop,5,1,Tempat Cukur Rambut,Jl. Soverdi,Buka Rab 10.00,https://www.google.com/maps/search/Blessed barbershop+Kupang
BOSS KICI BARBERSHOP,5,3,Tempat Cukur Rambut,RHPG+JP8,N/A,https://www.google.com/maps/search/BOSS KICI BARBERSHOP+Kupang
BosQiano Barber,5,16,Tempat Cukur Rambut,Jl. Farmasi Gang IV,Buka Rab 09.00,https://www.google.com/maps/search/BosQiano Barber+Kupang
BOXX BARBERSHOP,2.5,4,Tempat Cukur Rambut,Jl. Bumi I,Tutup 22.00,https://www.google.com/maps/search/BOXX BARBERSHOP+Kupang
Brader's Barbershop,5,10,Salon Rambut,Jl. Pemuda,Buka Rab 09.00,https://www.google.com/maps/search/Brader's Barbershop+Kupang
Brooklyn barbershop,5,21,Tempat Cukur Rambut,Jl. Bhakti Karya,Tutup 22.00,https://www.google.com/maps/search/Brooklyn barbershop+Kupang
Cfk Barbershop,5,1,Tempat Cukur Rambut,N/A,N/A,https://www.google.com/maps/search/Cfk Barbershop+Kupang
Coral Barbershop,4.7,9,Tempat Cukur Rambut,Jl. Tompello No.31B,Buka Rab 10.00,https://www.google.com/maps/search/Coral Barbershop+Kupang
Coral Barbershop (Perumnas),4,56,Tempat Cukur Rambut,Jl. Bhakti Karang,Buka Rab 09.00,https://www.google.com/maps/search/Coral Barbershop (Perumnas)+Kupang
D GANTENG BARBERSHOP,4.8,5,Tempat Cukur Rambut,RHJR+39F,N/A,https://www.google.com/maps/search/D GANTENG BARBERSHOP+Kupang
DAENG BARBERSHOP,5,5,Tempat Cukur Rambut,Jl. TDM II,Buka Sekarang,https://www.google.com/maps/search/DAENG BARBERSHOP+Kupang
David barbershop,N/A,0,Salon Rambut,Jl. Pahlawan,Buka Rab 08.30,https://www.google.com/maps/search/David barbershop+Kupang
DiZett Barbershop,4.7,15,Tempat Cukur Rambut,RJP9+WH7,Buka Rab 09.00,https://www.google.com/maps/search/DiZett Barbershop+Kupang
El NiNo Barbershop,4,1,Kantor Perusahaan,RJXM+2P6,Tutup 22.51,https://www.google.com/maps/search/El NiNo Barbershop+Kupang
ElArJu Barbershop & Online shop,N/A,0,Tempat Cukur Rambut,Jl. Alfons Nisnoni,Tutup 22.00,https://www.google.com/maps/search/ElArJu Barbershop & Online shop+Kupang
Eleven Barbershop,4.5,2,Salon Rambut,Jl. Farmasi No.12,N/A,https://www.google.com/maps/search/Eleven Barbershop+Kupang
