Nama Barbershop,Rating,Jumlah Ulasan,Kategori,Alamat,Status Operasional
A2 barbershop,5.0,3,Tempat Cukur Rambut,VM27+HP6,Tutup 22.30
Aboni barbershop,N/A,0,Tempat Cukur Rambut,N/A,Buka Rab 08.00
ACF BARBERSHOP,5.0,1,Tempat Cukur Rambut,Jl. Taebenu No.1,N/A
Aidens Barbershop,N/A,0,Salon Rambut,Jl. TDM V,Buka Rab 09.00
AMRAN BARBERSHOP,5.0,1,Tempat Cukur Rambut,Jl. Lakbanu No.32,Tutup 23.00
Anasta Barbershop,4.5,6,Tempat Cukur Rambut,RJVC+V75,N/A
Angga Angelos (GB barbershop),5.0,1,Tempat Cukur Rambut,Jl. Sikib RT.17/RW.06,Buka Rab 10.00
ATOIN METO BARBERSHOP,5.0,1,Salon Rambut,Jl. Kelinci No.238,N/A
B&W BARBERSHOP,4.0,11,Salon Rambut,Jl. Bajawa No.30,Buka Rab 09.00
Bang ji barbershop,N/A,0,Salon Rambut,Jl. P. Kemerdekaan III No.7,N/A
Barber Shop BNB,5.0,2,Salon Rambut,Jl. Oeleta Raya 003,N/A
Barbershop,5.0,1,Salon Rambut,Jl. Dua Lontar,N/A
Barbershop 46,N/A,0,Tempat Cukur Rambut,Jl. Bhakti Karang,Tutup 22.30
Barbershop AR46,N/A,0,Toko Peralatan Pangkas Rambut,Jl Fetor Foenay,Buka Rab 09.00
Barbershop Barondang,5.0,1,Pembangunan Perumahan,RHH4+C6C,N/A
Barbershop Bh41ra,4.0,1,Tempat Cukur Rambut,N/A,N/A
Barbershop Champen,4.8,6,Tempat Cukur Rambut,RJCF+Q6P,Buka Rab 08.00
Barbershop GIMBO,5.0,1,Salon Rambut,Jl. Anggur,N/A
BARBERSHOP KENAN,4.4,7,Tempat Cukur Rambut,Jl. Farmasi,Buka Rab 09.00
Barbershop KUMIS GANG,4.8,11,Tempat Cukur Rambut,Jl. Hati Mulia VI No.9,Tutup 22.00
Barbershop Lusi,N/A,0,Tempat Cukur Rambut,Jl. Amabi,Tutup 23.00
Barbershop MR.Breewok,4.0,1,Penata Rambut,Jl. Sahabat,Buka Rab 10.00
Barbershop Pa De,5.0,1,Salon Rambut,Jl. TDM II,Buka 24 Jam
Barbershop PJKR Universitas San Pedro,4.0,4,Tempat Cukur Rambut,Jl. Farmasi No.32,Tutup 22.00
Barbershop S.I.D,5.0,1,Tempat Cukur Rambut,Jl. Jenderal Sudirman No.47,N/A
BARBERSHOP TRABAS,4.3,6,Salon Rambut,Jl. Farmasi,N/A
BARBERSHOP ZM,4.3,41,Tempat Cukur Rambut,RHQM+344,Tutup 22.00
Barbershop88 ebufu,4.5,2,Tempat Cukur Rambut,RJFC+RG6,Buka Rab 09.00
BLACK BARBERSHOP,4.7,3,Tempat Cukur Rambut,Jl. Pahlawan No.15,Buka Rab 09.00
Black Red Barbershop,4.4,42,Tempat Cukur Rambut,Jl. Jend. Soeharto,Buka 24 Jam
Blessed barbershop,5.0,1,Tempat Cukur Rambut,Jl. Soverdi,Buka Rab 10.00
BOSS KICI BARBERSHOP,5.0,3,Tempat Cukur Rambut,RHPG+JP8,N/A
BosQiano Barber,5.0,16,Tempat Cukur Rambut,Jl. Farmasi Gang IV,Buka Rab 09.00
BOXX BARBERSHOP,2.5,4,Tempat Cukur Rambut,Jl. Bumi I,Tutup 22.00
Brader's Barbershop,5.0,10,Salon Rambut,Jl. Pemuda,Buka Rab 09.00
Brooklyn barbershop,5.0,21,Tempat Cukur Rambut,Jl. Bhakti Karya,Tutup 22.00
Cfk Barbershop,5.0,1,Tempat Cukur Rambut,N/A,N/A
Coral Barbershop,4.7,9,Tempat Cukur Rambut,Jl. Tompello No.31B,Buka Rab 10.00
Coral Barbershop (Perumnas),4.0,56,Tempat Cukur Rambut,Jl. Bhakti Karang,Buka Rab 09.00
D GANTENG BARBERSHOP,4.8,5,Tempat Cukur Rambut,RHJR+39F,N/A
DAENG BARBERSHOP,5.0,5,Tempat Cukur Rambut,Jl. TDM II,Buka Sekarang
David barbershop,N/A,0,Salon Rambut,Jl. Pahlawan,Buka Rab 08.30
DiZett Barbershop,4.7,15,Tempat Cukur Rambut,RJP9+WH7,Buka Rab 09.00
El NiNo Barbershop,4.0,1,Kantor Perusahaan,RJXM+2P6,Tutup 22.51
ElArJu Barbershop & Online shop,N/A,0,Tempat Cukur Rambut,Jl. Alfons Nisnoni,Tutup 22.00
Eleven Barbershop,4.5,2,Salon Rambut,Jl. Farmasi No.12,N/A
Etho Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Soverdi,N/A
FanRel Barbershop,5.0,1,Salon Rambut,Jl. Bhakti Besi No.01,Buka Rab 00.09
Forah Barbershop,3.5,2,Tempat Cukur Rambut,Jl. Prof. Dr. Herman Johanes No.88,Buka Rab 09.00
Freedombarber's,4.0,6,Salon Rambut,Jl. HTI Maulafa,Buka Rab 08.00
Fries Barbershop,5.0,1,Hotel,Jl. W.J. Lalamentik,N/A
G R E M ' S BARBERSHOP,5.0,3,Tempat Cukur Rambut,Jl. Sumatera,Buka Rab 10.00
Gaul Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I,Tutup 22.00
Gentle-Man Barbershop,3.8,11,Salon Rambut,Jl. Fetor Funay,Tutup 22.00
Gentlemen's Barbershop Sumatera,N/A,0,Tempat Cukur Rambut,Jl. Sumatera,N/A
GOOD BARBERSHOP,5.0,3,Tempat Cukur Rambut,Jl. Shopping Centre,Tutup 22.00
Goots Mini Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Kesekrom No.4,Buka 24 Jam
Grachio Barbershop,5.0,3,Tempat Cukur Rambut,Jl. Bajawa,Tutup 22.00
Grevlin Barbershop,4.3,10,Tempat Cukur Rambut,RJPF+794,Buka Rab 10.00
Growmen salon,5.0,59,Tempat Cukur Rambut,jln. banteng mapoli kel,Buka Rab 10.00
Ichat barbershop,5.0,1,Salon Rambut,Jl. TDM II,N/A
Icky BARBERSHOP,4.5,2,Tempat Cukur Rambut,RJJC+P4F,Buka Rab 09.00
J1 BARBERSHOP,4.7,3,Tempat Cukur Rambut,Jl. Fetor Funay No.8,Buka Rab 09.00
Jhian Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I,Buka 24 Jam
JM BARBERSHOP 2018,4.5,26,Tempat Cukur Rambut,Jl. W. Monginsidi III,Buka Rab 09.00
JOKER BARBERSHOP,5.0,1,Salon Rambut,Jl. Banteng,N/A
JR BARBERSHOP,5.0,4,Tempat Cukur Rambut,Jl. Frans Seda,Buka Rab 09.00
KAIROS BARBERSHOP,N/A,0,Tempat Cukur Rambut,Jl. Swakarya II,Tutup 22.00
Keluar-Keluar Ganteng Barbershop,5.0,3,Tempat Cukur Rambut,N/A,Buka Rab 09.00
KEY BARBERSHOP,4.8,25,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I No.5,Tutup 22.00
King Barber Shop,4.0,1,Tempat Cukur Rambut,Jl. H.R. Koroh No.168,N/A
KING BARBERSHOP,4.7,70,Tempat Cukur Rambut,Jl. W.J. Lalamentik,Buka Rab 10.00
Koe Barbershop,4.0,4,Tempat Cukur Rambut,Jl. Dua Lontar,Buka Rab 08.00
Koe Barbershop (Bumi I),4.0,3,Tempat Cukur Rambut,Jl. Bumi I,Tutup 22.00
Lapan Lapan Barbershop Cabang Oebufu,4.6,112,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.117,Buka Rab 09.00
Lapan lapan barbershop cabang merdeka,4.8,66,Tempat Cukur Rambut,N/A,Buka Rab 09.00
Lapanlapan Barbershop,4.8,64,Tempat Cukur Rambut,Jl. Shopping Centre No.33,Buka Rab 09.00
LC BARBERSHOP,N/A,0,Tempat Cukur Rambut,Jl. Prof. Dr. Herman Johanes,Tutup 22.00
Locker barbershop,5.0,2,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.66,N/A
Lordez Barbershop,N/A,0,Salon Rambut,99QC+287,N/A
LUXURY barbershop,5.0,4,Tempat Cukur Rambut,Jl. Nangka No.38,Buka Rab 09.00
MANLIEST BARBERSHOP,4.8,62,Tempat Cukur Rambut,Jl. Gunung Mutis No.31,Buka Rab 10.00
MANLIEST BARBERSHOP OEBUFU,4.4,96,Tempat Cukur Rambut,Jl. W.J. Lalamentik,Buka Rab 10.00
MANLIEST BARBERSHOP PASIR PANJANG,4.6,252,Tempat Cukur Rambut,Jl. Terusan Timor Raya No.120 A,Buka Rab 10.00
Manoah Barbershop Cab. Kelapa Lima,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan,Buka Rab 09.00
Max Salon,4.5,78,Salon Rambut,Jl. W.J. Lalamentik,N/A
ML Barbershop,5.0,14,Tempat Cukur Rambut,Jl. Samratulangi No.3,Buka Rab 09.00
MMS BARBERSHOP,3.0,2,Toko Peralatan Pangkas Rambut,Jl. K. H. Ahmad Dahlan No.19,Buka Rab 08.00
Mr. Seven's Barbershop,N/A,0,Salon Rambut,Jl. Palapa No.25,Tutup 22.00
Namas hair salon,4.9,881,Salon Rambut,Jl. Frans Seda No.16,Buka Rab 10.00
nio x barbershop,5.0,9,Tempat Cukur Rambut,Jl. Noelmina No.2kel,Tutup Rab 08.00
